,time,rri,RRI
,16:05:50,0,NaN
,16:05:51,0,NaN
79,16:05:52,0,NaN
,16:05:53,0,NaN
,16:05:54,1.366666667,1.366666667
,16:05:55,0,NaN
,16:05:56,0,NaN
,16:05:57,0,NaN
80,16:05:58,0,NaN
,16:05:59,1.4,1.4
,16:06:00,0,NaN
,16:06:01,0,NaN
,16:06:02,0,NaN
,16:06:03,0,NaN
80,16:06:04,1.333333333,1.333333333
,16:06:05,0,NaN
,16:06:06,0,NaN
,16:06:07,0,NaN
,16:06:08,0,NaN
,16:06:09,1.316666667,1.316666667
,16:06:10,0,NaN
,16:06:11,0,NaN
,16:06:12,0,NaN
,16:06:13,0,NaN
,16:06:14,0,NaN
80,16:06:15,0,NaN
,16:06:16,0,NaN
,16:06:17,0,NaN
,16:06:18,0,NaN
,16:06:19,1.333333333,1.333333333
,16:06:20,0,NaN
80,16:06:21,0,NaN
,16:06:22,0,NaN
,16:06:23,0,NaN
,16:06:24,1.333333333,1.333333333
,16:06:25,0,NaN
,16:06:26,0,NaN
,16:06:27,0,NaN
,16:06:28,0,NaN
,16:06:29,1.333333333,1.333333333
,16:06:30,0,NaN
,16:06:31,0,NaN
79,16:06:32,0,NaN
,16:06:33,0,NaN
,16:06:34,1.333333333,1.333333333
,16:06:35,0,NaN
,16:06:36,0,NaN
,16:06:37,0,NaN
81,16:06:38,0,NaN
,16:06:39,0,NaN
,16:06:40,0,NaN
,16:06:41,0,NaN
,16:06:42,0,NaN
,16:06:43,0,NaN
83,16:06:44,1.316666667,1.316666667
,16:06:45,0,NaN
,16:06:46,0,NaN
,16:06:47,0,NaN
,16:06:48,0,NaN
,16:06:49,1.316666667,1.316666667
80,16:06:50,0,NaN
,16:06:51,0,NaN
,16:06:52,0,NaN
,16:06:53,0,NaN
,16:06:54,0,NaN
,16:06:55,0,NaN
80,16:06:56,0,NaN
,16:06:57,0,NaN
,16:06:58,0,NaN
,16:06:59,0,NaN
,16:07:00,0,NaN
,16:07:01,0,NaN
,16:07:02,0,NaN
,16:07:03,0,NaN
,16:07:04,1.316666667,1.316666667
,16:07:05,0,NaN
,16:07:06,0,NaN
,16:07:07,0,NaN
,16:07:08,0,NaN
,16:07:09,0,NaN
,16:07:10,0,NaN
,16:07:11,0,NaN
80,16:07:12,0,NaN
,16:07:13,0,NaN
,16:07:14,0,NaN
,16:07:15,0,NaN
,16:07:16,0,NaN
,16:07:17,0,NaN
,16:07:18,0,NaN
,16:07:19,1.316666667,1.316666667
,16:07:20,0,NaN
,16:07:21,0,NaN
,16:07:22,0,NaN
81,16:07:23,0,NaN
,16:07:24,0,NaN
,16:07:25,0,NaN
,16:07:26,0,NaN
,16:07:27,0,NaN
,16:07:28,0,NaN
,16:07:29,0,NaN
,16:07:30,0,NaN
,16:07:31,0,NaN
,16:07:32,0,NaN
,16:07:33,0,NaN
80,16:07:34,1.333333333,1.333333333
,16:07:35,0,NaN
,16:07:36,0,NaN
,16:07:37,0,NaN
,16:07:38,0,NaN
,16:07:39,1.383333333,1.383333333
,16:07:40,0,NaN
,16:07:41,0,NaN
,16:07:42,0,NaN
,16:07:43,0,NaN
,16:07:44,1.366666667,1.366666667
82,16:07:45,0,NaN
,16:07:46,0,NaN
,16:07:47,0,NaN
,16:07:48,0,NaN
,16:07:49,1.35,1.35
,16:07:50,0,NaN
84,16:07:51,0,NaN
,16:07:52,0,NaN
,16:07:53,0,NaN
,16:07:54,1.366666667,1.366666667
,16:07:55,0,NaN
,16:07:56,0,NaN
80,16:07:57,0,NaN
,16:07:58,0,NaN
,16:07:59,1.366666667,1.366666667
,16:08:00,0,NaN
,16:08:01,0,NaN
,16:08:02,0,NaN
79,16:08:03,0,NaN
,16:08:04,1.35,1.35
,16:08:05,0,NaN
,16:08:06,0,NaN
,16:08:07,0,NaN
,16:08:08,0,NaN
,16:08:09,0,NaN
,16:08:10,0,NaN
,16:08:11,0,NaN
,16:08:12,0,NaN
,16:08:13,0,NaN
80,16:08:14,1.35,1.35
,16:08:15,0,NaN
,16:08:16,0,NaN
,16:08:17,0,NaN
,16:08:18,0,NaN
,16:08:19,1.3,1.3
80,16:08:20,0,NaN
,16:08:21,0,NaN
,16:08:22,0,NaN
,16:08:23,0,NaN
,16:08:24,1.316666667,1.316666667
,16:08:25,0,NaN
80,16:08:26,0,NaN
,16:08:27,0,NaN
,16:08:28,0,NaN
,16:08:29,1.316666667,1.316666667
,16:08:30,0,NaN
,16:08:31,0,NaN
80,16:08:32,0,NaN
,16:08:33,0,NaN
